SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,12:04:00 AM,11.75,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,1:14:00 AM,11.5,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,2:24:00 AM,11.375,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,3:34:00 AM,11.125,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,4:44:00 AM,11,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,5:54:00 AM,10.875,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,7:04:00 AM,10.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,8:14:00 AM,10.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,9:24:00 AM,10.5,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,10:34:00 AM,10.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,11:44:00 AM,10.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,12:54:00 PM,10.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,2:04:00 PM,10.875,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,3:14:00 PM,11,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,4:24:00 PM,11.125,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,5:34:00 PM,11.375,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,6:44:00 PM,11.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,7:54:00 PM,11.75,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,9:04:00 PM,11.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,10:14:00 PM,11.5,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/2/10,11:24:00 PM,11.375,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,12:34:00 AM,11.25,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,1:44:00 AM,11,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,2:54:00 AM,10.875,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,4:04:00 AM,10.75,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,5:14:00 AM,10.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,6:24:00 AM,10.5,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,7:34:00 AM,10.5,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,8:44:00 AM,10.5,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,9:54:00 AM,10.5,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,11:04:00 AM,10.75,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,12:14:00 PM,11.25,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,1:24:00 PM,11.75,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,2:34:00 PM,12.375,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,3:44:00 PM,12.875,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,4:54:00 PM,13.125,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,6:04:00 PM,13.75,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,7:14:00 PM,14,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,8:24:00 PM,14.125,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,9:34:00 PM,14,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,10:44:00 PM,13.75,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/3/10,11:54:00 PM,13.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,1:04:00 AM,13.25,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,2:14:00 AM,12.875,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,3:24:00 AM,12.375,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,4:34:00 AM,12,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,5:44:00 AM,11.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,6:54:00 AM,11.125,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,8:04:00 AM,11,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,9:14:00 AM,11,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,10:24:00 AM,11.125,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,11:34:00 AM,11.5,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,12:44:00 PM,11.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,1:54:00 PM,12,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,3:04:00 PM,12.375,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,4:14:00 PM,12.75,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,5:24:00 PM,13.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,6:34:00 PM,14,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,7:44:00 PM,13.75,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,8:54:00 PM,13.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,10:04:00 PM,13.5,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/4/10,11:14:00 PM,13.125,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,12:24:00 AM,13,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,1:34:00 AM,12.75,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,2:44:00 AM,12.5,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,3:54:00 AM,12.125,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,5:04:00 AM,11.875,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,6:14:00 AM,11.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,7:24:00 AM,11.5,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,8:34:00 AM,11.375,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,9:44:00 AM,11.25,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,10:54:00 AM,11.375,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,12:04:00 PM,11.625,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,1:14:00 PM,11.875,iButton
Temperature,Beverley,2010,Beverley Moose Creek,7/5/10,2:24:00 PM,12.25,iButton
